id	file	name	size	position
691:8898	691-8898.png	Календарь	402x874	-4307,16891
274:15550	274-15550.png	2Задачи на день	402x874	-5834,16905
274:15583	274-15583.png	2Задачи на день	402x874	-5378.841796875,16905
512:46390	512-46390.png	2Задачи на день	402x874	-4852,16905
274:15959	274-15959.png	iPhone 16 - 38	402x1071	-2231,17328
631:8478	631-8478.png	iPhone 16 - 52	402x874	-1730,17328
459:31071	459-31071.png	iPhone 16 - 40	402x874	-1277,17328
512:37450	512-37450.png	iPhone 16 - 51	402x874	-824,17328
274:15894	274-15894.png	Временная шкала	402x938	-2231,18624
459:31384	459-31384.png	Временная шкала	402x1009	-1730,18624
512:48260	512-48260.png	Временная шкала	402x1009	-1277,18624
274:15772	274-15772.png	iPhone 16 - 31	402x875	-1730,19803
274:15826	274-15826.png	iPhone 16 - 32	402x1846	-1229,19803
274:15604	274-15604.png	iPhone 16 - 21	402x1846	-2231,19804
274:15762	274-15762.png	iPhone 16 - 30	402x1180	-2231,22033
274:15659	274-15659.png	iPhone 16 - 25	402x1424	-1743,22033
429:12299	429-12299.png	iPhone 16 - 39	402x1146	-1255,22033
512:28070	512-28070.png	iPhone 16 - 50	402x874	-5320,23511
274:15923	274-15923.png	iPhone 16 - 37	402x874	-2231,23871
274:15623	274-15623.png	iPhone 16 - 23	402x874	-1730,23871
274:15628	274-15628.png	iPhone 16 - 24	402x874	-1229,23871
512:27815	512-27815.png	iPhone 16 - 49	402x874	-2231,24851
512:27249	512-27249.png	iPhone 16 - 43	402x874	-1730,25831
512:27254	512-27254.png	iPhone 16 - 44	402x874	-1229,25831
512:27431	512-27431.png	iPhone 16 - 45	402x874	-1730,26811
512:27436	512-27436.png	iPhone 16 - 46	402x874	-1229,26811
512:27622	512-27622.png	iPhone 16 - 47	402x874	-1730,27804
512:27627	512-27627.png	iPhone 16 - 48	402x874	-1229,27804
